Name,Location,address,timing,Type
Healthnox Medical Center ,Lahore,"12-A, Block A Muslim Town, Lahore, 54000",12 pm-9 pm,Hospital
"Integrated Medical Care Hospital, Lahore",Lahore,"153/1, 153 Street 1, F Block Phase 5 D.H.A, Lahore, 54792",Open 24 hours,Hospital
Lahore Medical Complex and The Heart Hospital,Lahore,"Ghalib Rd, Block E1 Block E 1 Gulberg III, Lahore, 57760",Open 24 hours,Hospital
Saleem Memorial Hospital,Lahore,opposite Green Forts,Open 24 hours,Hospital
National Hospital & Medical Centre Lahore,Lahore,Street 123,Open 24 hours,General Hospital
Chughtai Medical Center DHA DD Phase-4 Lahore,Lahore,"Chughtai Medical Center 154 CCA (DD Commercial Zone) Phase IV DHA, Sector CCA Dha Phase 4, Lahore, Punjab 54000 DD",Open 24 hours,Medical Center
Chughtai Medical Center Walton Lahore (CL),Lahore,"Chughtai Medical Center, Walton Rd, beside Hamza Mart",7am - 11pm,Medical Laboratory
Gulberg Medical Complex,Lahore,"Chohan Tower, 16 Jail Rd",Open 24 hours,Health Consultant
City Care Medical Centre,Lahore,"2, 3, 32, 2-S-9 Allama Iqbal Rd",Open 24 hours,Private Hospital
Hameed Latif Hospital,Lahore,"Garden, 14 New",Open 24 hours,General Hospital
AMC medical center,Lahore,"F, 1109-F commercial, Housing society",7am - 1 am,Community Health Center
Punjab Medical Centre,Lahore,Gulberg Road? Main Jail Rd,Open 24 hours,Private Hospital
"Ammar Medical Complex, Lahore",Lahore,"G8MV+X55 Ammar Medical Complex:, Jail Rd",Open 24 hours,Medical Center
DHA Medical Centre,Lahore,FC9R+C4X,Open 24 hours,Medical Center
Allied health care home service lahore,Lahore,G9C5+5G4,Open 24 hours,Medical Group
ACME MEDICAL CENTRE,Lahore,"Plot 97, behind Firdous Market Road",Open 24 hours,Medical Center
DHA Hospital Phase III,Lahore,"F9GC+MMR, Street 29",Open 24 hours,Hospital
Health Bridge Hospital,Lahore,"E-194 Ghazi Rd, near Q Block Market",Open 24 hours,Hospital
"Dr. Awais Malik -- Laparoscopic & Bariatric Surgeon(FMH ,Mid City Hospital, LMCH ) MBBS, MS, MRCS, CHPE, ATLS",Lahore,Lahore Medical Complex & The Heart Hospital,Open 24 hours,doctor
Doctors Hospital & Medical Center,Lahore,"152-G, Doctors Hospital & Medical Center, 1 Canal Rd",Open 24 hours,Hospital
Shehryar Medical Complex,Lahore,22 A,Open 24 hours,Hospital
